ADDRESS,CITY,PROV/STATE,"POSTAL/ZIP CODE",STORE,Latitude,Longitude,Hours,URL,Notes,Image,"Image URL",Phone,e,Icon,categories,BRANDS,COUNTRY,COUNTRY2,COUNTRY3
72 St.Regis Crescent,Toronto,ON,"M3J 1Z3",23 Degrees Roastery,43.754893,-79.484992,,www.23degreesroastery.com,,,"",,,,Online,,ca,Canada,
1701 Douglas St - Ste 1,Victoria,BC,"V8W 0C1",2percent Jazz Coffee Inc.,48.4295796,-123.3636005,,http://www.2percentjazz.com,,,"",,,,Roaster Retailer,,CA,Canada,
740 Hillside Ave,Victoria,BC,"V8T 1Z4",2percent Jazz Coffee Inc.,48.4389782,-123.3657666,,http://www.2percentjazz.com,,,"",,,,Roaster Retailer,,CA,Canada,
3350 South Clack Street,Abilene,TX,"79606",Natural Grocers by VC_Abilene (AB),32.409837,-99.7727919,,,,,"",,,,Grocery,Kicking Horse,US,United States,
4707 Marine Avenue,Powell River,BC,"V8A 2Y3",32 Lakes Coffee Roasters,49.843343,-124.528898,,http://www.32lakes.com,,,"",,,,Roaster Retailer,,ca,Canada,
5100 Belt Line Rd Ste 1012,Addison,TX,"75254",Whole Foods Market,32.9515797,-96.8206605,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
512 Fulham Road,Fullham,London,"SW6 5NJ",80 Stone Coffee Roasters,51.479747,-0.199034,,www.80stonecoffeeroasters.co.uk,,,"",,,,Online,,uk,United Kingdom,
Carrer Verneda del Congost 7,MontmelÃ³ (Barcelona),,"8160",80plus,41.56157,2.260204,,http://80plus.es,,,"",,,,Roaster Retailer,,es,Spain,
"92 HQ, Hardman Yard",Liverpool,Merseyside,"L1 9AX",92 Degrees,53.4014387,-2.9708586,,http://www.92degrees.coffee,,,"",,,,Roaster Retailer,,,United Kingdom,
24 Hardman Street,Liverpool,,"L1 9AX",92 Degrees Coffee,53.401481,-2.971348,,www.92degreescoffee.com,,,"",,,,Retail,,uk,United Kingdom,
116 Laurens Street,Aiken,SC,"29801",MoonBeans Coffee,33.494285,-81.955362,,www.newmoondowntown.com,,,"",,,,Retail,,us,United States,
5126 Sherbrooke O,Montreal,QC,"H4A 1T1",A Votre Sante,45.475848,-73.606826,,www.kickinghorsecoffee.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
"29 Conmurra Avenue ",Edwardstown,SA,"5039",AAA Diamond Coffee & Fine Quality Teas,-34.988106,138.571144,,www.aaacoffee.com.au,,,"",,,,Retail,,au,Australia,
1733 W. Market,Akron,OH,"44313",Whole Foods Market,41.110419,-81.5710696,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
204 Lark Street,Albany,NY,"12210",The Daily Grind,42.65595575,-73.76407275,,www.dailygrind.com,,,"",,,,Retail,,us,United States,
952 Hill Street,Albany,OR,"97321","The Human Bean ",44.6321759,-123.0925202,,www.thehumanbean.com,,,"",,,,Retail,,us,United States,
1425 Central Ave,Albany,NY,"12205",Whole Foods Market,42.7102729,-73.8165423,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
"400 Gold Avenue SW, Ste 104",Albuquerque,NM,"87102",Bad Ass Coffee,35.0833514,-106.6521937,,www.badasscoffee.com,,,"",,,,Roast/Retail,,us,United States,
2400 Rio Grande Blvd NW,Albuquerque,NM,"87104",La Montanita Co-op (Valley),35.1179497,-106.674654,,,,,"",,,,Grocery,Kicking Horse,US,United States,
9261 Coors Blvd,Albuquerque,NM,"87114",Natural Grocers by VC_Albuquerque West (AW),35.1834674,-106.6662048,,,,,"",,,,Grocery,Kicking Horse,US,United States,
4801 NE Jefferson Street,Albuquerque,NM,"87109",Red Rock Roasters,35.1355105,-106.5939928,,www.redrockroasters.com,,,"",,,,Online,,us,United States,
413 Montano Rd NE,Albuquerque,NM,"87107",Trifecta Coffee co.,35.1368491,-106.6265054,,http://www.trifectacoffeeco.com,,,"",,,,Roaster Retailer,,US,United States,
2103 Carlisle Blvd. NE,Albuquerque,NM,"87106",Whole Foods Market,35.1028721,-106.6050929,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
5815 Wyoming Blvd. N.E.,Albuquerque,NM,"87109",Whole Foods Market,35.1463717,-106.5559212,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
573 Commercial St NE,"Albuquerque ",NM,"87102",Villa Myriam Coffee,35.088558,-106.6457,,www.villamyriam.com,,,"",,,,Retail,,us,United States,
600 Franklin St,Alexandria,VA,"22314",Balduccis Food Lovers Market (Alexandria),38.7978102,-77.0479011,,,,,"",,,,Grocery,Kicking Horse,US,United States,
1700 Duke St.,Alexandria,VA,"22314",Whole Foods Market,38.8041416,-77.0600615,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
750 Krocks Road Store S-8,Allentown,PA,"18106",Whole Foods Market,40.5643754,-75.565515,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
3005 Old Alabama Rd,Alpharetta,GA,"30022",The Fresh Market,34.0211313,-84.2723215,,,,,"",,,,Grocery,Counter Culture,US,United States,
2800 Old Milton Pkwy,Alpharetta,GA,"30004",Whole Foods Market,34.0694669,-84.2784091,,www.wholefoodsmarket.com,,,"",,,,Grocery,"Allegro Coffee, Batdorf & Bronson, Counter Culture",US,United States,
305 E. Altamonte Drive Ste 1000,Altamonte Springs,FL,"32701",Whole Foods Market,28.6642475,-81.3814416,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
