Handle,Title,"Option1 Value","Option2 Value","Option3 Value",SKU,ID,Vendor,Type,Published,"global[""description_tag""]:string","global[""title_tag""]:string","custom_fields[""roast_level""]:string","custom_fields[""grind""]:string","custom_fields[""region""]:string","custom_fields[""cup""]:string","custom_fields[""origin""]:string","custom_fields[""roaster_ship_day""]:string","custom_fields[""roaster_page""]:string","mc-facebook[""google_product_category""]:string","mc-facebook[""condition""]:string","custom_fields[""country""]:string","custom_fields[""certifications""]:list.single_line_text_field","govalo[""giftable_product""]:single_line_text_field","custom_fields[""growing_altitude""]:string","custom_fields[""variety""]:string","global[""harmonized_system_code""]:string","govalo[""bold""]:single_line_text_field","govalo[""giftCard""]:boolean","seo[""hidden""]:number_integer","govalo[""boldSourceId""]:single_line_text_field","mm-google-shopping[""google_product_category""]:string"
ethiopia-sidamo,"Ethiopia Sidamo",,,,,6077042491562,"Talking Crow Coffee Roasters","12 oz. bag",,"This delicate selection from Washington State's Talking Crow Coffee Roasters, who specialize in beautiful decaf coffees, comes from the Sidama region of Ethiopia. It showcases all the nuance and beauty of coffee from the land where this beverage was first discovered—without the caffeine. NOTE: Talking Crow roasts and ships coffee every Tuesday. Place your order before Monday 12PM PST to get included in that week's shipment!","This delicate selection from the Sidama region of Ethiopia showcases all the nuance and beauty of coffee—without the caffeine.",Medium,"Whole Bean",Sidama,"Golden Raisin, Almond",Ethiopia,Tuesday,/pages/talking-crow-coffee-roasters,1868,new,,,,,,,,,,,
ethiopia-sidamo,,"Default Title",,,sw0058,,,,,,,,,,,,,,,,,,,,,,,,,,
verena-street-sunday-drive,"Sunday Drive",,,,,6077042589866,"Verena Street","11 oz. bag",true,"Verena Street's Sunday Drive will remind you of leisurely drives with no urgency or set destinations. Let its smooth flavor carry you away. *Note* This decaf comes only as ground coffee.","Verena Street - Sunday Drive",Medium,Ground,,"Rich, Full Body, Smooth",Colombia,Weekdays,/pages/verena-street,1868,new,Colombia,"[""Kosher"",""Rainforest Alliance""]",false,,,,,,,,
verena-street-sunday-drive,,"Default Title",,,sw0031,,,,,,,,,,,,,,,,,,,,,,,,,,
ninth-street-espresso-swiss-water®-process-decaf,"Swiss Water® Process Decaf",,,,,6077042655402,"Ninth Street Espresso","12 oz. bag",true,"This balanced, juicy coffee from the classic New York City roaster will transport you to the Lower East Side—in a decaffeinated way. It's exceptionally sweet, with developed citrus and chocolate notes in a lively body. Works well as espresso or drip. NOTE: Ninth Street Espresso roasts and ships coffee every Monday, Wednesday, and Friday. Place your order before the prior business day before 12PM PST to get included in the following shipment!","Ninth Street Espresso - Swiss Water Process® Decaf",Medium,"Whole Bean",Matagalpa,"Citrus, Chocolate, Juicy",Nicaragua,"Monday, Wednesday, Friday",/pages/ninth-street-espresso,1868,new,Nicaragua,,false,"750-970 MASL",Catuai,,,,,,
ninth-street-espresso-swiss-water®-process-decaf,,"Default Title",,,sw0053,,,,,,,,,,,,,,,,,,,,,,,,,,
portland-coffee-roasters-tilikum-crossing,"Tilikum Crossing",,,,,6077042688170,"Portland Coffee Roasters","12 oz. bag",true,"Named after the famed Portland bridge that was designed primarily for bicycles, pedestrians, and transit vehicles but not cars, this coffee is every bit as distinctive as the bridge itself. It is a full-bodied coffee with notes of graham, caramel, and a clean finish. Try it as a decaf cup of coffee or a decaf espresso.","Portland Coffee Roasters - Tilikum Crossing",Medium,"Whole Bean",,"Graham Cracker, Molasses",Blend,Weekdays,/pages/portland-coffee-roasters,1868,new,"Brazil, Ethiopia, Indonesia, Peru, Papua New Guinea",,false,,,,,,,,
portland-coffee-roasters-tilikum-crossing,,"Default Title",,,sw0024,,,,,,,,,,,,,,,,,,,,,,,,,,
dancing-goats-coffee-steeped-dancing-goats-blend-5-pack,"Steeped Dancing Goats® Blend - 5 Pack",,,,,6077042852010,"Dancing Goats Coffee","5x 0.5oz Sachets",,,"Dancing Goats Coffee - Steeped Dancing Goats®",Medium,Instant/on-the-go,"East Africa, Central America, Indonesia","Cherry, Chocolate, Spices",Blend,Thursday,/pages/dancing-goats-coffee,1868,new,,[],false,,,,,,,,
dancing-goats-coffee-steeped-dancing-goats-blend-5-pack,,"Default Title",,,sw0055,,,,,,,,,,,,,,,,,,,,,,,,,,
